species_name
Zonotrichia_leucophrys
Passer_domesticus
Serinus_canaria
Turdus_merula
Agelaius_phoeniceus
Quiscalus_mexicanus
Taeniopygia_guttata
Taeniopygia_guttata
Vanellus_vanellus
Philomachus_pugnax
Luscinia_svecica
Sturnus_unicolor
Branta_canadensis
Falco_tinnunculus
Falco_tinnunculus
Larus_michahellis
Cincloramphus_cruralis
Pavo_cristatus
Parus_caeruleus
Larus_argentatus
Larus_fuscus
Corvus_monedula
Carpodacus_mexicanus
Carpodacus_mexicanus
Sterna_hirundo
Lonchura_striata
Molothrus_bonariensis
Pica_pica
Corvus_corone
Taeniopygia_guttata
Delichon_urbicum
Xanthocephalus_xanthocephalus
Larus_delawarensis
Cincloramphus_cruralis
Larus_ridibundus
Anseranas_semipalmata
Sterna_hirundo
Falco_tinnunculus
Larus_delawarensis
Pygoscelis_antarcticus
Phoebastria_irrorata
Passer_domesticus
Sula_nebouxii
Stercorarius_parasiticus
Ficedula_albicollis
Sterna_dougallii
Centrocercus_urophasianus
Phasianus_colchicus
Taeniopygia_guttata
Larus_fuscus
Sturnus_vulgaris
Erythrura_gouldiae
Larus_ridibundus
Aythya_ferina
Aythya_fuligula
Aythya_affinis
Chen_caerulescens
Falco_sparverius
Columba_livia
Zonotrichia_leucophrys
Quiscalus_major
Cuculus_canorus
Eudyptes_chrysocome
Larus_michahellis
Gallus_gallus
